open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1688169600000,1933.42,1935.79,1933.22,1935.70,8443.386,1688169899999,16334377.66839,8536,5014.444,9701262.27545,0
1688169900000,1935.71,1936.89,1934.24,1936.79,6738.025,1688170199999,13042491.10864,7505,3333.032,6452538.44148,0
1688170200000,1936.79,1938.28,1929.41,1932.85,17149.352,1688170499999,33153399.97805,15041,6885.951,13313325.37389,0
1688170500000,1932.86,1934.80,1931.81,1933.37,6220.240,1688170799999,12024468.40340,8106,2701.572,5222246.73659,0
1688170800000,1933.36,1935.70,1932.37,1935.52,4599.296,1688171099999,8896964.78848,5405,2193.975,4244129.22682,0
1688171100000,1935.52,1941.00,1933.48,1939.57,13529.857,1688171399999,26218196.18813,12621,7972.491,15449091.19744,0
1688171400000,1939.56,1940.14,1937.46,1937.46,11759.253,1688171699999,22800313.37055,10342,4761.974,9232742.81960,0
1688171700000,1937.47,1941.47,1935.57,1941.25,12295.401,1688171999999,23838834.13138,10223,8560.367,16596500.58340,0
1688172000000,1941.25,1944.69,1940.00,1942.61,16916.146,1688172299999,32857332.85307,13835,9704.786,18850471.54498,0
1688172300000,1942.61,1942.61,1936.72,1938.28,12839.177,1688172599999,24891356.18000,12933,5848.219,11336699.67181,0
1688172600000,1938.28,1938.29,1934.00,1935.26,8543.529,1688172899999,16540283.40186,9758,2823.342,5466589.60967,0
1688172900000,1935.26,1935.66,1932.80,1933.73,7532.871,1688173199999,14569059.88064,9026,3986.035,7709410.15396,0
1688173200000,1933.74,1935.78,1932.77,1933.17,9009.312,1688173499999,17423040.65520,8733,4406.141,8521522.08468,0
1688173500000,1933.17,1933.17,1926.42,1930.38,26153.901,1688173799999,50463745.14690,18122,9570.678,18464458.00235,0
1688173800000,1930.38,1932.96,1930.37,1931.73,6588.438,1688174099999,12728269.64891,7243,3731.406,7208354.80132,0
1688174100000,1931.73,1931.73,1923.57,1927.51,21461.675,1688174399999,41374178.01497,17903,9260.962,17854021.38708,0
1688174400000,1927.51,1929.45,1923.33,1926.41,15873.944,1688174699999,30580310.37584,15033,7672.312,14780180.40262,0
1688174700000,1926.41,1929.16,1926.40,1927.90,8369.298,1688174999999,16133650.18811,8585,3966.493,7646266.32304,0
1688175000000,1927.90,1929.90,1926.77,1928.13,8999.899,1688175299999,17357694.18595,9056,4894.702,9440444.68578,0
1688175300000,1928.13,1929.83,1927.67,1928.60,5086.621,1688175599999,9810994.31241,5311,2736.443,5277669.34329,0
1688175600000,1928.60,1930.07,1927.12,1928.40,4771.318,1688175899999,9204315.69035,6605,2733.797,5274042.89833,0
1688175900000,1928.40,1930.50,1927.12,1930.50,5324.985,1688176199999,10271869.13152,6541,3421.824,6600592.18514,0
1688176200000,1930.50,1930.50,1928.52,1929.29,4657.852,1688176499999,8986845.48451,4873,1665.850,3214162.28229,0
1688176500000,1929.28,1929.28,1928.25,1928.49,2391.323,1688176799999,4612026.72684,4001,1127.258,2174025.48639,0
1688176800000,1928.48,1929.70,1924.66,1925.17,8330.419,1688177099999,16050039.17174,7511,3705.675,7139793.23196,0
1688177100000,1925.18,1928.02,1922.30,1927.95,11923.250,1688177399999,22947130.84745,10749,6150.404,11837889.20263,0
1688177400000,1927.95,1927.96,1925.18,1925.66,4689.989,1688177699999,9034123.23300,5494,2509.023,4832859.04020,0
1688177700000,1925.65,1926.26,1924.73,1925.30,3445.451,1688177999999,6634253.86066,5806,1748.555,3366831.16126,0
1688178000000,1925.31,1925.64,1923.84,1924.79,2640.753,1688178299999,5082568.55200,4540,1140.428,2195026.75059,0
1688178300000,1924.79,1926.56,1924.52,1925.73,4021.309,1688178599999,7743698.13542,4732,2622.677,5050343.03347,0
1688178600000,1925.73,1928.47,1925.32,1925.62,4996.754,1688178899999,9627562.27877,6198,2410.206,4644231.37304,0
1688178900000,1925.62,1925.63,1923.16,1924.90,3899.102,1688179199999,7502639.30169,6010,1884.570,3626039.83371,0
1688179200000,1924.91,1925.77,1924.37,1924.63,2844.941,1688179499999,5476864.19704,4760,1684.754,3243297.76842,0
1688179500000,1924.63,1925.22,1921.00,1921.93,11770.754,1688179799999,22626843.28754,10946,4908.090,9434735.18757,0
1688179800000,1921.93,1922.58,1921.08,1921.22,5619.064,1688180099999,10798157.98679,6774,3067.814,5895363.46334,0
1688180100000,1921.22,1921.80,1920.22,1920.59,13680.979,1688180399999,26282190.62376,8043,4699.838,9029037.69879,0
1688180400000,1920.59,1921.45,1918.79,1920.71,9003.450,1688180699999,17289984.55342,9594,4674.336,8977105.46780,0
1688180700000,1920.71,1922.53,1920.71,1921.67,5289.922,1688180999999,10165946.14188,5521,3966.955,7623364.58105,0
1688181000000,1921.68,1921.68,1919.00,1919.47,5295.022,1688181299999,10166887.53060,6280,1972.243,3786815.63389,0
1688181300000,1919.47,1922.58,1919.46,1921.09,4456.504,1688181599999,8562222.14995,5285,2531.303,4863358.15076,0
1688181600000,1921.08,1921.17,1918.67,1919.84,4482.834,1688181899999,8605565.18986,5751,1999.662,3838833.06067,0
1688181900000,1919.83,1920.29,1918.35,1919.07,4144.999,1688182199999,7955460.07780,5174,1686.560,3236992.51086,0
1688182200000,1919.07,1920.41,1917.38,1918.20,5896.670,1688182499999,11313616.39332,6326,2590.303,4970371.27900,0
